outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
649927,1570618822,1570824616,57.16,1,22,2021,Magalia,39.87162,-121.61139
649928,1570619423,1570825219,57.17,1,443,443,Pollock Pines,38.79337,-120.62005
649929,1570619423,1570621827,0.67,1,1,1,Georgetown,38.93447000000001,-120.7275
649930,1570619423,1570846222,63.0,1,147,147,Dutch Flat,39.18294,-120.85652
649931,1570619423,1570621827,0.67,1,1,1,Placerville,38.73164000000001,-120.79907
649932,1570619423,1570814423,54.17,1,588,588,Napa,38.3353,-122.26361
649933,1570619423,1570622425,0.83,1,1,1,Grass Valley,39.14934,-120.9698
649934,1570619423,1570830628,58.67,1,4,4,Magalia,39.87191,-121.61187
649935,1570619423,1570622425,0.83,1,1,1,Grass Valley,39.16516,-121.03626
649936,1570619423,1570621827,0.67,1,1,1,Georgetown,38.92744,-120.81258
649937,1570619423,1570812624,53.67,1,997,997,Lakeport,39.04052,-122.93897
649938,1570619423,1570621827,0.67,1,1,1,Placerville,38.74455,-120.78962
649939,1570619423,1570744221,34.67,1,192,192,Sausalito,37.86759,-122.50391
649940,1570619423,1570623627,1.17,1,1,1,Somerset,38.5935,-120.71141
649941,1570619423,1570622425,0.83,1,1,1,Nevada City,39.26564000000001,-121.04787
649942,1570619423,1570768819,41.5,1,391,391,Napa,38.3496,-122.26798
649943,1570619423,1570697424,21.67,1,592,592,Myrtletown,40.78051,-124.12533
649944,1570619423,1570825219,57.17,1,617,617,Pollock Pines,38.76176,-120.57778
649945,1570619423,1570766426,40.83,1,900,900,Penn Valley,39.25304000000001,-121.19712
649946,1570619423,1570705813,24.0,1,671,671,Rio Dell,40.49582,-124.09961
649947,1570619423,1570829446,58.34,1,874,1032,Clearlake Riviera,38.95402,-122.72648999999998
649948,1570619423,1570621827,0.67,1,1,1,Placerville,38.76343,-120.76121
649949,1570619423,1570760423,39.17,1,302,302,Redding,40.51588,-122.38237
649950,1570619423,1570750237,36.34,1,123,123,Marin City,37.87497000000001,-122.50988
649951,1570619423,1570815023,54.33,1,492,492,Silverado Resort,38.35642,-122.26717
649952,1570619423,1570842021,61.83,1,405,405,Truckee,39.30995,-120.38161
649953,1570619423,1570621827,0.67,1,1,1,Placerville,38.73219,-120.79752
649954,1570619423,1570706416,24.16,1,266,266,Rio Dell,40.49591,-124.09725
649955,1570619423,1570826433,57.5,1,587,587,Pollock Pines,38.76043,-120.57694
649956,1570619423,1570766426,40.83,1,2500,2500,Red Bluff,40.18279,-122.24482
