Rank,City,Population
228,Monrovia,"37,006"
229,West Hollywood,"36,384"
230,Moorpark,"36,274"
231,Wildomar,"36,162"
232,Temple City,"36,137"
233,Claremont,"36,025"
234,San Juan Capistrano,"35,952"
235,Bell,"35,809"
236,Manhattan Beach,"35,573"
237,Pleasant Hill,"34,785"
238,Orangevale,"34,757"
239,Oildale,"34,723"
240,Beverly Hills,"34,362"
241,San Dimas,"34,239"
242,Seaside,"34,077"
243,Dana Point,"33,913"
244,Menlo Park,"33,869"
245,French Valley,"33,818"
246,Foster City,"33,784"
247,Foothill Farms,"33,749"
248,Westmont,"33,723"
249,Adelanto,"33,416"
250,Fallbrook,"33,021"
251,Lawndale,"33,007"
252,La Verne,"32,358"
253,El Paso de Robles (Paso Robles),"31,656"
254,Spring Valley CDP,"31,591"
255,Laguna Hills,"31,185"
256,Fair Oaks,"31,002"
257,Banning,"30,942"
258,Los Gatos,"30,922"
259,Saratoga,"30,886"
260,San Pablo,"30,839"
261,Goleta,"30,790"
262,Los Altos,"30,588"
263,Orcutt,"30,493"
264,Burlingame,"30,459"
265,Ladera Ranch,"30,288"
266,Santa Paula,"30,258"
267,San Carlos,"30,080"
268,Atascadero,"30,037"
269,Walnut,"30,008"
270,East Palo Alto,"29,633"
271,Suisun City,"29,379"
272,Atwater,"29,197"
273,Ridgecrest,"28,736"
274,Monterey,"28,512"
275,Desert Hot Springs,"28,430"
276,Vineyard,"28,315"
277,Benicia,"28,088"
278,Isla Vista,"27,690"
279,Maywood,"27,542"
280,Windsor,"27,506"
281,Imperial Beach,"27,290"
282,West Whittier-Los Nietos,"27,144"
283,Belmont,"27,110"
284,Eureka,"27,020"
285,Lemon Grove,"26,767"
286,Temescal Valley,"26,709"
287,Wasco,"26,708"
288,Norco,"26,569"
289,Paradise town,"26,543"
290,Twentynine Palms,"26,109"
291,Lafayette,"26,060"
292,Brawley,"26,009"
293,South Pasadena,"25,824"
294,Lemoore,"25,791"
295,Galt,"25,675"
296,Soledad,"25,597"
297,Reedley,"25,493"
298,San Lorenzo,"25,388"
299,Hercules,"25,343"
300,Valinda,"25,296"
301,El Cerrito city,"25,203"
302,Bay Point,"25,165"
303,Sanger,"24,978"
304,North Tustin,"24,736"
305,Selma,"24,598"
306,San Fernando,"24,585"
307,Seal Beach,"24,364"
308,Riverbank,"24,237"
309,Loma Linda,"24,078"
310,Calabasas,"24,077"
311,Cudahy,"24,016"
312,Dinuba,"23,871"
313,Barstow,"23,812"
314,Ashland,"23,635"
315,West Puente Valley,"23,629"
316,Coronado,"23,620"
317,Rosemont,"23,617"
318,Laguna Beach,"23,147"
319,Winter Gardens,"23,088"
320,West Rancho Dominguez,"22,932"
321,Millbrae,"22,703"
322,Oakdale,"22,599"
323,Lakeside,"22,560"
324,West Carson,"22,537"
325,Granite Bay,"22,439"
326,Willowbrook,"22,402"
327,Corcoran,"22,301"
328,Port Hueneme,"22,215"
329,South Lake Tahoe,"21,814"
330,Patterson and Bloomington,"21,783"
331,Duarte,"21,713"
332,Marina,"21,608"
333,Yucca Valley,"21,543"
334,Lathrop,"21,393"
335,Lennox,"21,329"
336,Rancho San Diego,"21,289"
337,Arvin,"21,005"
338,South El Monte,"20,727"
339,East Hemet,"20,679"
340,Agoura Hills,"20,636"
341,Lomita,"20,628"
342,South San Jose Hills,"20,593"
343,La Cañada Flintridge,"20,374"
344,American Canyon,"20,306"
345,Ramona,"20,260"
346,Rosamond,"20,028"
347,Mead Valley,"19,925"
348,Cameron Park,"19,902"
349,Dixon,"19,759"
350,Albany,"19,758"
351,Hermosa Beach,"19,650"
352,Casa de Oro-Mount Helix,"19,635"
353,Prunedale,"19,584"
354,Blythe,"19,581"
355,La Crescenta-Montrose,"19,500"
356,Orinda,"19,431"
357,Stevenson Ranch,"19,364"
358,Linda,"19,314"
359,Pinole,"19,264"
360,Oroville,"19,040"
361,Shafter,"18,923"
362,Castaic,"18,921"
363,Chowchilla,"18,533"
364,Rancho Mirage,"18,075"
365,Arcata,"18,050"
366,Arroyo Grande,"18,039"
367,Santa Fe Springs,"17,791"
368,Bostonia,"17,530"
369,Nipomo,"17,445"
370,Moraga,"17,398"
371,Live Oak,"17,390"
372,Woodcrest,"17,310"
373,Greenfield city,"17,276"
374,Imperial,"17,175"
375,Vincent,"17,008"
376,Valle Vista,"16,879"
377,El Segundo,"16,850"
378,Artesia,"16,817"
379,Rosedale,"16,737"
380,East Rancho Dominguez,"16,734"
381,McKinleyville,"16,612"
382,Coalinga,"16,538"
383,Cherryland,"16,387"
384,Truckee,"16,377"
385,Los Osos,"16,292"
386,Laguna Woods,"16,228"
387,Walnut Park,"16,034"
388,Discovery Bay,"15,981"
389,Ukiah,"15,946"
