Rank,City,Population
952,Berry Creek,"1,241"
953,Mountain Mesa,"1,236"
954,Del Rio,"1,235"
955,Grayson,"1,224"
956,Sunnyside-Tahoe City and Airport,"1,222"
957,Saticoy,"1,201"
958,Redway,"1,199"
959,Johnstonville,"1,185"
960,Maricopa and Laytonville,"1,175"
961,Newcastle,"1,167"
962,Covelo,"1,165"
963,Sea Ranch,"1,161"
964,Squirrel Mountain Valley,"1,159"
965,Monte Rio,"1,156"
966,Elkhorn and Palo Cedro,"1,151"
967,March ARB,"1,150"
968,Loyalton,"1,149"
969,Big River and Castle Hill,"1,145"
970,Pala,"1,143"
971,Shandon,"1,141"
972,Matheny,"1,134"
973,Mi-Wuk Village,"1,133"
974,Inverness,"1,127"
975,Garberville,"1,126"
976,Yosemite Valley,"1,110"
977,Greenville,"1,108"
978,Maxwell,"1,096"
979,Grizzly Flats,"1,087"
980,Hasley Canyon,"1,085"
981,Westhaven-Moonstone,"1,084"
982,Clay,"1,083"
983,Parklawn,"1,082"
984,Spring Valley,"1,081"
985,Bolinas,"1,077"
986,Alpaugh and Minkler,"1,074"
987,McCloud,"1,072"
988,Boronda,"1,066"
989,Wallace,"1,063"
990,Herald,"1,058"
991,Upper Lake and Santa Susana,"1,050"
992,Lake Riverside,"1,049"
993,Beale AFB,"1,039"
994,Thornton,"1,038"
995,Cedar Ridge,"1,037"
996,West Park,"1,035"
997,Sultana and Lake Don Pedro,"1,030"
998,Camanche North Shore,"1,029"
999,Teviston,"1,027"
"1,000",Pasatiempo,"1,018"
"1,001",Kernville,"1,007"
"1,002",Chalfant,999
"1,003",Mount Hermon,998
"1,004",Cohasset,990
"1,005",Norris Canyon,987
"1,006",Blue Lake,981
"1,007",East Tulare Villa,980
"1,008",Hydesville,978
"1,009",Whitewater,976
"1,010",Green Valley,973
"1,011",Sunol,962
"1,012",East Orosi,955
"1,013",Taft Mosswood,951
"1,014",North Edwards,944
"1,015",Soda Bay and Tuttletown,941
"1,016",Zayante,939
"1,017",Silverado Resort,937
"1,018",Butte Creek Canyon,931
"1,019",Julian,930
"1,020",Geyserville,928
"1,021",Penryn,925
"1,022",Summerland,923
"1,023","Fieldbrook, Hopland, and Talmage",921
"1,024",Cobb,920
"1,025",Bradbury,916
"1,026",Deer Park,906
"1,027",Fruitdale,899
"1,028",Rolling Hills,896
"1,029",Plymouth,894
"1,030",Blacklake,892
"1,031",Crowley Lake and Acalanes Ridge,889
"1,032",Lompico,887
"1,033",Tonyville,881
"1,034",Stratford,878
"1,035",Springville,872
"1,036",Knights Landing,869
"1,037",Dorris,868
"1,038",Tahoma,867
"1,039",Challenge-Brownsville,864
"1,040",Walker and Plainview,863
"1,041",Boonville,852
"1,042",Fuller Acres and Diablo Grande,841
"1,043",Tranquillity,839
"1,044",Westley and Tulelake,838
"1,045",Aguanga,835
"1,046",Manila,834
"1,047",Occidental,833
"1,048",Fort Jones,832
"1,049",Los Olivos,831
"1,050",Fort Dick,830
"1,051",Rough and Ready,828
"1,052",Caspar,812
"1,053",Happy Camp,810
"1,054",McClellan Park,809
"1,055",Cleone,804
"1,056",Kenwood,800
"1,057",Catheys Valley and Mountain Gate,794
"1,058",Dollar Point,786
"1,059",Fort Washington,783
"1,060",Mendocino,782
"1,061",Lake of the Woods and Bootjack,768
"1,062",Alto,765
"1,063",New Cuyama,763
"1,064",Middletown,757
"1,065",Concow,743
"1,066",Inyokern and Traver,740
"1,067",Alhambra Valley,739
"1,068",Etna,735
"1,069",Bodega Bay,733
"1,070",Glen Ellen,727
"1,071",Lytle Creek,724
"1,072",Waterloo,719
"1,073",La Honda,711
"1,074",Indio Hills,708
"1,075",Seville,691
"1,076",Junction City,688
"1,077",Greeley Hill,687
"1,078",Indianola and Linnell Camp,686
"1,079",Millville,682
"1,080",Clyde and Loleta,676
"1,081",Cold Springs,675
"1,082",Coloma,673
"1,083",Miranda,672
"1,084",Douglas City,668
"1,085",Smith Corner,664
"1,086",Dobbins and Tres Pinos,662
"1,087",Delft Colony,653
"1,088",Ducor,651
"1,089",Mokelumne Hill,637
"1,090",Smith River,632
"1,091",Potrero,625
"1,092",Doyle,622
"1,093",Camanche Village and Gasquet,620
"1,094",Desert Shores,619
"1,095","Klamath, Valley Acres, and Lakehead",617
"1,096",Hamilton Branch,612
"1,097",Baker and River Pines,607
"1,098","Patton Village, Lockwood, and Peters",604
"1,099",Scotia,602
"1,100",Graeagle,596
"1,101",Dustin Acres,590
"1,102",Onyx,588
"1,103",Lake Hughes,587
"1,104",Grangeville,586
"1,105",Mesa Verde,584
"1,106",San Simeon and Isleton,583
"1,107",West Point,571
"1,108",Cowan,570
"1,109",West Goshen,567
"1,110",Hickman and Fulton,566
"1,111",Madison,563
"1,112",Calpella,562
"1,113",North Gate and Avery,559
"1,114",Stinson Beach,556
"1,115",San Ardo,554
"1,116",Friant,548
"1,117",Paradise Park,543
"1,118",Independence,542
"1,119",Los Berros,541
"1,120",Forest Ranch,538
"1,121",Courtland,537
"1,122",Round Valley,533
"1,123",Allensworth,527
"1,124",Buena Vista,526
"1,125",Niland and Coleville,515
"1,126",Edmundson Acres and Delleker,514
"1,127",Butte Valley,510
"1,128",June Lake,508
"1,129",Shelter Cove,501
"1,130",Bass Lake,500
"1,131",Shaver Lake,498
"1,132",Canby,497
"1,133",California Pines,488
"1,134",Alta,485
"1,135",Grenada,477
"1,136",Ballard and Bodega,473
"1,137",San Lucas,472
"1,138",San Geronimo,466
"1,139",Bridgeport,464
"1,140",Carnelian Bay,463
"1,141",Bend,457
"1,142",Boulevard and Tehama,445
"1,143",Victor,444
"1,144",Clarksburg,442
"1,145",Yettem and French Gulch,441
"1,146",Lindcove,438
"1,147",Potter Valley,437
"1,148",Hiouchi,433
"1,149",Mad River,432
"1,150",Wilkerson,431
"1,151",Keswick,430
"1,152",Yolo,429
"1,153",Nord,426
"1,154",Oak Glen,420
"1,155",Point Arena,418
"1,156",Lake Almanor Peninsula,416
"1,157",Bombay Beach,415
"1,158",Terminous,411
"1,159",Ripley,408
"1,160",Rio Oso,406
"1,161",Meridian,405
"1,162",Ballico,401
"1,163",Raisin City,389
"1,164",Bloomfield,387
"1,165",McArthur,386
"1,166",Spreckels,385
"1,167",Monson and Derby Acres,380
"1,168",Manton and Bangor,372
"1,169",Centerville,366
"1,170",Diablo,364
"1,171",Mexican Colony,363
"1,172",Meadow Valley,362
"1,173",Cedarville,360
"1,174",Grimes,358
"1,175",Cressey,356
"1,176",Salton Sea Beach,355
"1,177",Garden Farms,345
"1,178",Industry,344
"1,179",Newell,342
"1,180",Burnt Ranch,338
"1,181",Plumas Eureka,333
"1,182",Stevinson,331
"1,183",Sierra Village,330
"1,184",Fiddletown,329
"1,185",El Nido and North San Juan,328
"1,186",Fields Landing,325
"1,187",Robbins,321
"1,188",Clipper Mills and Nipinnawasee,319
"1,189",Sand City,318
"1,190",Mesa,317
"1,191",Anchor Bay,314
"1,192",Keene and Benton,313
"1,193",Tooleville,309
"1,194",Groveland and Stirling City,307
"1,195",Hood,303
"1,196",Albion and Lake Almanor Country Club,302
"1,197",Yankee Hill,301
"1,198",Martell,300
"1,199",Sierra Brooks,299
"1,200",Princeton,297
"1,201",Orick and Trowbridge,296
"1,202",Acampo and Las Flores CDP,294
"1,203",Mineral and Artois,292
"1,204",Monterey Park Tract,291
"1,205",Point Reyes Station,290
"1,206",Cazadero,288
"1,207",Crescent Mills,287
"1,208",Elmira,285
"1,209",Samoa,284
"1,210",Rail Road Flat and Greenview,283
"1,211",Oak Shores,282
"1,212",Trinity Village,279
"1,213",Crows Landing and Mesa Vista,278
"1,214",Fall River Mills and Cantua Creek,273
"1,215",Trinidad and Richfield,272
"1,216",Weott,271
"1,217",El Portal,268
"1,218",Lemon Cove,267
"1,219",Desert Center and Davenport,264
"1,220",Pajaro Dunes,255
"1,221",East Nicolaus and Greenhorn,254
"1,222",Cromberg and Tomales,253
"1,223",Taylorsville,244
"1,224",Dos Palos Y and Muir Beach,242
"1,225",College City and La Vina,239
"1,226",Lanare and Topaz,234
"1,227",Clear Creek and Pescadero,226
"1,228",Forbestown,221
"1,229",Dillon Beach,219
"1,230",Swall Meadows,218
"1,231",Calpine and Volta,216
"1,232",Hornbrook and Waukena,215
"1,233",Beckwourth,214
"1,234",Olancha,213
"1,235","Vina, Three Rocks, and Winterhaven",210
"1,236",Chinese Camp,206
"1,237",Dorrington,205
"1,238",Bear Valley,203
"1,239",Valley Home and Jacumba,202
"1,240",Adin and Philo,201
"1,241",Manchester,199
"1,242",Wawona and Dutch Flat,196
"1,243",Bowles,194
"1,244",Elk Creek and Cherokee Strip,191
"1,245",Rackerby and Little River,189
"1,246",Oakville and Big Creek,188
"1,247",Verdi,187
"1,248","Tupman, Coffee Creek, Port Costa, Paradise, and Edna",186
"1,249",Vallecito,183
"1,250",Westside,182
"1,251",Fort Bidwell and Milford,181
"1,252",Litchfield and Bieber,178
"1,253",Cassel,176
"1,254",Guinda,175
"1,255",Flournoy,171
"1,256",East Shore,169
"1,257",Pike and Amador City,167
"1,258",Nicolaus,166
"1,259",Proberta and Hyampom,165
"1,260",Hat Creek and Whitley Gardens,164
"1,261",Smartsville,163
"1,262",Camptonville,162
"1,263","Trinity Center, Benbow, and Bluewater",161
"1,264",Garey,160
"1,265",Bear Creek and Alderpoint,157
"1,266",Alpine Village,155
"1,267",Sierra City,152
"1,268",Moskowite Corner,151
"1,269",Timber Cove and Pine Flat,149
"1,270",Valley Ford and Sisquoc,148
"1,271",Chilcoot-Vinton,147
"1,272",Tecopa,146
"1,273",Fairhaven and Ruth,145
"1,274",Markleeville,143
"1,275",Cherokee,139
"1,276",Johannesburg and Mettler,138
"1,277",Stonyford,136
"1,278",Honcut and Daphnedale Park,135
"1,279",McKittrick and Furnace Creek,127
"1,280",Lake Almanor West and Lodoga,126
"1,281",Big Lagoon,118
"1,282",Franklin,117
"1,283",Downieville and Loma Mar,114
"1,284",Round Mountain,112
"1,285",Casmalia,111
"1,286",Spaulding,110
"1,287",Cold Springs CDP,108
"1,288",Bradley,107
"1,289",Nicasio,106
"1,290",Macdoel and Paskenta,105
"1,291",Monmouth and Sierraville,103
"1,292",Snelling,101
"1,293",Richvale,99
"1,294",Mono City,98
"1,295",C-Road,97
"1,296",Big Bend,96
"1,297",Long Barn,93
"1,298",Vernon and Fish Camp,90
"1,299",Lee Vining and Farmington,89
"1,300",Rodriguez Camp,87
"1,301",Palo Verde,85
"1,302",Comptche,83
"1,303",Sereno del Mar,82
"1,304",Eagleville and Freeport,81
"1,305",Sunny Slopes,80
"1,306",Mount Hebron,78
"1,307",Sattley,77
"1,308",Kirkwood and Lookout,76
"1,309",Mabie,74
"1,310",Kingvale,73
"1,311",Phillipsville and Rutherford,72
"1,312",New Pine Creek,71
"1,313",Aspen Springs,67
"1,314",Whitehawk and Canyondam,66
"1,315","El Rancho, Lake Davis, and Clio",65
"1,316",Randsburg,64
"1,317",Tuttle and Mohawk Vista,63
"1,318",Leggett,62
"1,319","Montgomery Creek, Hornitos, and Moss Landing",61
"1,320",Iron Horse,60
"1,321",Lake City,59
"1,322",Bear Valley CDP and Ocotillo,58
"1,323",Darwin,56
"1,324",Indian Falls,54
"1,325","Washington, Butte Meadows, and Paynes Creek",53
"1,326",Buck Meadows,51
"1,327",Fellows,49
"1,328",Carrick,47
"1,329",Gazelle,46
"1,330",Volcano,44
"1,331",Panorama Heights,42
"1,332",McClenney Tract and Keddie,41
"1,333",Edgewood,40
"1,334",Coulterville,38
"1,335",Trona,37
"1,336",California Hot Springs,36
"1,337","Homewood Canyon, Robinson Mill, and Old Station",35
"1,338",Twain,33
"1,339",Jenner,32
"1,340","Creston, Alleghany, and Hardwick",30
"1,341",Goodyears Bar and Pearsonville,29
"1,342",Prattville and Sequoia Crest,28
"1,343",Blairsden,25
"1,344",Redcrest,23
"1,345",Soda Springs,21
"1,346","Drytown, Kennedy Meadows, Nubieber, Salmon Creek, and Floriston",20
"1,347",Tennant and Little Valley,18
"1,348",Bucks Lake and Keeler,15
"1,349",Shoshone and Spring Garden,13
"1,350",Valley Ranch and Sugarloaf Village,10
"1,351",Cuyama,9
"1,352",Cartago,7
"1,353",Strawberry CDP,5
"1,354",Poso Park,2
